epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,2927.87,0.46869,0.29925,0.00105,0.97456,0.93659,0.96566,0.9544,0.19623,0.21434,0.00235,0.0222008,0.00740026,0.0222008,0.00740026,0.0222008,0.00740026,0.0222008,0.00740026
41,3000.46,0.46477,0.2996,0.00103,0.97456,0.93659,0.96559,0.9545,0.1943,0.183,0.00233,0.0220008,0.0073336,0.0220008,0.0073336,0.0220008,0.0073336,0.0220008,0.0073336
42,3073,0.4666,0.30307,0.00104,0.97628,0.93825,0.96664,0.95509,0.19834,0.17873,0.00235,0.0218008,0.00726694,0.0218008,0.00726694,0.0218008,0.00726694,0.0218008,0.00726694
43,3145.62,0.47196,0.30316,0.00105,0.97456,0.93659,0.96579,0.95453,0.19634,0.183,0.00231,0.0216008,0.00720028,0.0216008,0.00720028,0.0216008,0.00720028,0.0216008,0.00720028
44,3218.25,0.46941,0.29926,0.00104,0.97339,0.93991,0.96759,0.95622,0.19696,0.17425,0.0023,0.0214009,0.00713362,0.0214009,0.00713362,0.0214009,0.00713362,0.0214009,0.00713362
45,3290.83,0.46799,0.29279,0.00105,0.97475,0.94405,0.96953,0.9583,0.19376,0.17071,0.00229,0.0212009,0.00706696,0.0212009,0.00706696,0.0212009,0.00706696,0.0212009,0.00706696
46,3363.35,0.46251,0.29496,0.00102,0.97345,0.94198,0.96855,0.95749,0.19401,0.17374,0.00229,0.0210009,0.0070003,0.0210009,0.0070003,0.0210009,0.0070003,0.0210009,0.0070003
47,3435.87,0.46328,0.29209,0.00102,0.97301,0.94115,0.96824,0.95759,0.19268,0.16943,0.00227,0.0208009,0.00693364,0.0208009,0.00693364,0.0208009,0.00693364,0.0208009,0.00693364
48,3508.49,0.47148,0.30118,0.00106,0.97349,0.94364,0.96922,0.95812,0.19424,0.17328,0.00226,0.0206009,0.00686698,0.0206009,0.00686698,0.0206009,0.00686698,0.0206009,0.00686698
49,3581.13,0.46804,0.29558,0.00103,0.97267,0.94405,0.96952,0.9582,0.19418,0.17383,0.00225,0.020401,0.00680032,0.020401,0.00680032,0.020401,0.00680032,0.020401,0.00680032
